Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Extra Trees,91.3,90.57,94.12,92.31,94.36
Gaussian NB,91.3,93.0,91.18,92.08,94.51
SVM,90.22,88.18,95.1,91.51,94.43
CatBoost,89.13,90.2,90.2,90.2,93.77
AdaBoost,89.13,90.2,90.2,90.2,91.73
KNN,88.59,88.57,91.18,89.86,93.6
Logistic Regression,88.59,87.16,93.14,90.05,92.97
Random Forest,87.5,88.35,89.22,88.78,93.14
Gradient Boosting,87.5,89.11,88.24,88.67,93.2
XGBoost,85.87,87.25,87.25,87.25,92.19
LightGBM,85.87,86.54,88.24,87.38,92.34
Decision Tree,78.26,78.18,84.31,81.13,77.52
